texto_final,sentimento
tava usando linha tônico crescimento boticário! ameiiii mim deu mt certo. agora comprei linha bomba salon line falam ótima tb… mas vou testar. to querendo comprar tb linha eudora falaram melhor ainda,1
#promoção #oferta [parcelado] desodorante colônia l'eau lily 75ml - boticário - r$ 13890 #beleza #saude,0
agora todo mundo usa perfume importado insta cheiro ninguém boticário natura kkk ataaaaaa povo piada,-1
2.cancelei investimentos xp. encerrei cc 39 anos itaú.não bebo nada ambev/brahma-skol-antarctica eisenbahn.não compro magalu heringnas americanas mcdonalds boticario natura bauducco não assisto grobo nem cnn band. tamos conversados!,-1
cancelei investimentos xp. encerrei cc 39 anos itaú.não bebo nada ambev/brahma-skol-antarctica eisenbahn.não compro magalu heringnas americanas mcdonalds boticario natura bauducco não assisto grobo nem cnn band. tamos conversados!,-1
natura boticário americanas itaú magazine luísa etc etc muitos anos boicoto.,-1
tirei perfume boticário outro creme lily porque tá acabando rosto_sorridente_com_3_corações,1
cara mania deixar mulher cheirosa gente nunca vi rolando_no_chão_de_rirrolando_no_chão_de_rirrolando_no_chão_de_rirrolando_no_chão_de_rir enfim bobinho boticário rolando_no_chão_de_rirrolando_no_chão_de_rirrolando_no_chão_de_rirrolando_no_chão_de_rir,-1
vou comprar coisas boticário rosto_sorridente_com_3_coraçõesrosto_sorridente_com_3_coraçõesrosto_sorridente_com_3_corações,1
cara completamente apaixonada hidratantes boticário véi bgl fica cheiro corpo dia todinho,1
grupo boticário lança batom inteligente,0
aconteceu… boticário parou vender perfume fav rosto_chorando_aos_berros,-1
pessoa enviou msg engano wpp business perguntando vendo chá recado revendedora avon boticário... nunca sabe pessoa revende produtos beleza cházinho!,0
mds creme morango boticario agr deus segura,1
colônia quasar next star wars the mandalorian 50ml - boticário oboticário - r$ 4890. oferta relâmpago. #oferta #relampago #desconto #promoção #cupom,0
amigas não sai transfere sabe? ( fiquei meio panda final rolê uó boticario falam melhor mesmo qro testar,0
"acabei comprar lapis olho boticario pincel chinfrado tentar fazer ""delineador"" ctz fiz gastar dinheiro não rolando_no_chão_de_rir agors to atras pó porque não frete ta absurdo socorro deus",0
meninas digam perfume bom boticario mim comprar,0
tiktok ensinou men only boticário mesma fragrância 212 men vip. agora boy (eu) mantém perfume dia dia usa importado ocasiões especiais. obrigado tiktok,1
vão dar sabonete boticário presente bolsonaro faz alguma coisa rosto_chorando_aos_berrosrosto_chorando_aos_berrosrosto_chorando_aos_berrosrosto_chorando_aos_berros,-1
hidratante novo boticário deliciosoooooooo não canso cheirar,1
tava olhando destaques reparei desde sai boticário não pintei unha kkk meo deos,0
queria blogueira patrocinada boticário porque entro lá vontade comprar tudo,1
vamo trocar compro batom mary kay boticário kkk amo gatonaaa,0
miguel perguntou queria alguma coisa aproveitei vó vende boticário pedi kit boti baby mt bonzinho titiorosto_sorridente_com_olhos_de_coraçãorosto_sorridente_com_3_coraçõesdois_corações,1
mulher passei loja boticário hj sentir fragrância hidratante morango ruby queria comprar faltou vendedora tacar tubo creme cara...,-1
ganhei dia namorados ainda namorando presente boticário mãe podendo rosto_sorridente_com_olhos_sorridentesrosto_sorridente_com_olhos_sorridentes,1
atendente boticario fofo serio rosto_chorando_aos_berros amor,1
tudo doce boticário vai casa,0
to louca deleite boticário. creme delicinha,1
account is temporarily unavailable because it violates the twitter media policy. learn more.,0
to quase virando socia boticario toda semana gasto paulada la sorte ganha presente mim rosto_aliviado,1
comprei hidratante boticário tão cheirosorosto_sorridente_com_3_corações,1
erro entrar boticário agr preciso kit glamour secrets coffe.,-1
não boquinha não hidratante lily boticario maior,0
gastei dinheiro não revista boticário kkk ódio,-1
eu não posso gastar mês… comprando monte maquiagem eudora mary kay boticário rosto_de_palhaço,-1
vou querer linha nova cheiro morango boticário,1
complicadíssimo namorar usa boticário/natura porque aí termina fica sentindo perfume pessoa outras pessoas quase todo dia,-1
rodo rodo rodo sempre volto perfume nuvem boticário pô não onde oficialmente cheirinho,1
fico morrer algumas vendedoras boticário acham donas proprietárias grupo boticário não sinto nem pingo vontade ir lojas mulher_decepcionada_pele_morena,-1
loja boticário  queria todos produtos rosto_segurando_as_lágrimasrosto_chorando_de_rir.,1
tô postando aqui avisar fãs lila qur querem comprar perfume boticário embalagem vai mudar apartir ciclo 10 ciclo 9 então quiser comprar embalagem original compra logo porque embalagem nova horrível,1
vou começar investir perfumes elizabeth taylor lanvin coisas maravilhosas não tão conhecidas. acho merda pessoa básica. não nada contra perfumaria nacional vou marcas nichadas tbm nada boticário.,-1
comprei creme imitação ameixa boticário bom menos 10 reais,0
boticário exagerado,-1
nada melhor tomar banho ficar cheirosamão_com_dedo_indicador_e_polegar_cruzados creme deleite melhorrosto_sorridente_com_3_corações,1
anúncio boticário dia namorados,0
falta agora boticário natura.,0
app boticário várias promoções todas frete grátis cartão 100 limite rosto_chorando_aos_berrosrosto_chorando_aos_berrosrosto_chorando_aos_berrosrosto_chorando_aos_berros,-1
procurando tb. usava boticário saiu linha,0
alguem indica perfume doce/floral (mas chique) fixação boa boticario?,0
mentira gente podem ir lá boticário comprar medo,1
quero gastar salário boticário dnv tô 3 perfumes lá cheio rosto_deprimido,-1
mãe comprou creme novo boticário achei bem enjoativo rosto_desapontado,-1
pensei mesma coisa natura boticário,0
amo facilidade vendedoras boticário enfiar produto mim,1
comprei floratta creme boticário rosto_babando,1
"não consigo fazer negócio instagram ""vc/seu cheiro"" porque uso monte perfume mãe vários diferentes mulher não pode ver promoção boticário",0
boticário não real não existe loja saia cabeça favor rosto_desapontadorosto_desapontadorosto_desapontadorosto_desapontadorosto_desapontadorosto_desapontadorosto_desapontadorosto_desapontadorosto_desapontadorosto_desapontadorosto_desapontadorosto_desapontado,-1
perfumes acabaram daí hoje coloquei perfume dei mainha lembrei porque dei odeio cheiro. deus não suporto lilly boticário,-1
boticário experimentar perfume tava curiosa amei tava estoque loja. comprei site paguei agora cancelaram compra porque não estoque. não querem cheirosa! rosto_sorridente_com_lágrima,1
comprei sabonete líquido boticário mim alcançar meta,0
cupons boticário 20% desconto primeira compra cupom bemvindo20  30% desconto primeira compra aplicativo cupom bemvindo30  página cupons  canal telegram,0
comprar kit boticário virou víciopessoa_decepcionada,1
usa perfume boticário compra magalu.,0
achei promoção internet dois cremes 400ml boticário 50 reais aproveitei comprei,0
"""voce vs cheiro"" amor voce fede esgoto não boticário",-1
semana intensa time cosmotec international! visitamos grupo boticário levar últimas novidades tendências texturas sensoriais através sugestões fórmulas ingredientes inovadores. conte cosmotec trazer s…,0
"arrumando pensando ""bah preciso comprar perfume novo né"" cinco minutos boticário cidade manda mensagem tabela promoções semana",0
comprei hidratante mara boticário bom poder mimar,1
perfume uso boticário 80$ agora tá 150$ rosto_bizarrorosto_de_palhaço,0
maquiagens venceram tudo kit sombra maravilhosa boticário nathalia deu tô pena jogar tá novinho nesses anos pandemia não coloquei nada cara,0
boticário gastar pouquinhorosto_sorridente_com_olhos_de_coração,1
bah novo creme morango boticário maravilhoso cheiro docinho parece perfumou! quiser encomendar chamaaasaaaaa,1
[o boticario] pacote frete grátis bandeira_brasil kit presente dia namorados egeo dolce (3 itens) fogo r$ 172 8x carrinho_de_compras  .,0
incrível boticário sabota pois nunca promoção floratta blue,-1
tô doida cassiane trazer revista boticário mim pode pegá outro perfumeo ta fime fica cheirinho não kkk,1
amigo eh aql boticário?,0
época comprei alguns perfumes importados kkk tirando j'adore dior prefiro boticário msm. maravilhosos aaa,1
coisas avon (sim kkk) boticário natura sabonete dove andar táxi lotação (kkk) latinha biscoito casa + 1 andar. engraçado várias dessas coisas tornaram corriqueiras mim agora tão voltando coisa rico (boticário ex),0
entrei boticario comprar coisa específica mocinha passou tanto perfume mim tô frorzinha cheirosa,1
novo boticario kskskskskskksksskkskksks,0
desesperada porque perfume acabou talvez boticario tirado linha vou m,-1
portinari boticário bom demais,1
não sei l fem cabeça grupo boticário colocar batom qdb veio proposta produtos acessíveis 43 reais.,-1
ae boticario não vergonha não porra destrói familias,-1
oi tudo bem? loja digital boticário! veja produtos faça pedido lá prático acesse aqui,0
gabi brandt mostrou perfumes não nenhum boticário,0
caneta sai mesmo uso dia dia. bom boticário não borra perfeito role.,1
entro boticário saio lá monte palitinho daqueles ficar cheirando casa kkk,0
fico toda boba elogiam trabalho reunião gerente boticário gerente vult encheram bola hoje fiquei ó rosto_sorridente_com_3_coraçõesrosto_sorridente_com_3_coraçõesrosto_sorridente_com_3_corações,1
não compro boticário quer caro agora não vou compra mesmo..ficar piratas.kkkk,0
postar vai natura boticário,0
to triste comprei uns cremes caros boticário deram reação alérgica…,-1
comprei creme mãos boticário cheiro pinho sol lavanda. hm delicia cheiro banheiro mãos,-1
maluco boticario enganou vendeu hidratante maos feminino,-1
kitizinhos hidratantes boticário maravilhosos preços arrancar olhos pqp. rosto_desoladorosto_desoladorosto_desoladorosto_desoladorosto_desolado,-1
viciei cheirinho hidratante matcha d'o boticário. bem gostoso ♡,1
comprei hidrante boticário cheiro morango comprei sabonete tbm rosto_sorridente_com_3_coraçõesrosto_sorridente_com_3_corações,1
moça discutindo perfil boticário comentário,0
nunca provei gosto sabores boticário caros,1
algum motivo agr obsecada boticario,1
vai boticário patrocinaaa,0
veio aqui trazer umas coisas boticário mim tbm falou várias coisas você nem dei ideia tbm não citou nome. coisas deus!,0
ofertas dia aliex  amazon  americanas  boticário  netshoes  shopee  sub  canal,0
apaixonada glamour gold boticário nem vender ainda... socorro!,1
boticário regrava jingle comemorar volta joão nordeste,0
sirene #oboticario cupons ingresso_de_cinema 20% off primeira compra site. link acesse  brilhos cupom bemvindo20 ingresso_de_cinema 30% off primeira compra app. link acesse  brilhos cupom bemvindo30 #cuponsoboticario #boticario seta_curva_da_esquerda_para_a_direita,0
presente certo todas ocasiões. boticário boticário,0
boticário não sei mandar email pirra,-1
pensando comprar liz boticário chegar casa frasco perfume mãe mata,-1
vai la boticario compra slk,0
acordei feliz porque perfume creme entraram promoção revista boticário,1
boticário experimentando malbec vou levar,0
lindo campanha boticário rebecca coração_vermelho,1
boticário não sei fazer outros palhaço passando golpe tal blaze apostas aí tudo bem né afinal pagando fazer propaganda dessa me!#rdae faz sabendo golpe,-1
ganhei kit boticário tão cheiroso dia namorados graça dias têm sido tomar banho passar produtos corpo,1
usa perfume red alguma coisa boticário favor não chega perto mim,-1
parece propaganda perfume boticário rosto_contente_com_olhos_sorridentes,0
mãos_aplaudindomãos_aplaudindomãos_aplaudindomãos_aplaudindomãos_aplaudindomãos_aplaudindomãos_aplaudindomãos_aplaudindomãos_aplaudindo juntos. incluo nesta lista bauducco natura boticário burger king muitas outras. consome produtos ambev outras precisa ter consciência financiando grupos querem destruir brasil retomarem poder.,-1
brega mermo não bebe américa nenhuma nem nunca uns bolerinho tocando feira livre agitando bailes seresta. kubanakan perfume boticário? cumbia né bowl botar bifum?,0
acabei ver youtube novo brinde boticário não gostei kkk pensei novo lançamento morango não é!!!!! chateada rosto_com_sorriso_marotorosto_implorando,-1
vai tomar cu boticário dedo_do_meio,-1
mês brinde boticário ?,0
boticário fez lançamento morango ruby agora nenhum sinal cadastro amostra grátis melhor hein dona,-1
não dava nada hidratantes marca hidramais to amando! to viciada cheiro bb olha louca hidratantes vários eudora boticário nivea... pegou demais agora dps enjoar cheiro kkk,1
tava youtube vi anuncio boticário linda rebecca &lt;333,0
vida aí kkk não posso nem cheirar papelzinho perfume moça dá porta boticário parece nariz vai cair,-1
boticario hj comprei hidratantes ameixa tudo rosto_sorridente_com_olhos_de_coração,1
shampoo boticário tão bom,1
gente esfoliante boa noite boticário bom trás relaxamento,1
tô simplesmente obcecada hidratante leite boticário.,1
comprei umas roupas shein comprei perfume boticário rosto_sorridente_com_3_corações,1
petição boticário parar fabricar creme hidratante ameixa,-1
eita!!! uso 2... _ 1° boticário floratta in blue ganhei 1999... nunca deixei usar _ coffee passei usar 2010 coração_vermelho,1
simplesmente viciada produtos boticario eudora,1
não existe hidrante melhor lilly ameixa boticário affff rosto_babandorosto_sorridente_com_3_corações,1
boticário,0
to hidratante boticário morango ruby coisa louco rosto_saboreando_comidarosto_saboreando_comidarosto_saboreando_comida mt cheiroso...,1
cheguei tão rápido casa arrumei correndo sair novo esqueci passar perfume passei shopping entrei boticário borrifei floratta gold perfume prova arrasei. siga dicas.,0
aqui dia falar perfumes! kkk outro amo todas forças crazy choices boticário. baita perfume diferente delícia. lembra bastante outro favoritos ever angel muse mugler.,1
promo boticário não dinheiro desodorante,0
ai adoro gostinho formato desse ice não acho hidrate tantoooo queria poderoso!!! não conhecia boticário deve tudo sair coração_pulsanteobg princesa linda,1
creme novo morango boticário simplesmente maravilhosooooo ainda ganhei presente pacientinha querida rosto_segurando_as_lágrimas,1
amiga uso principia mttt bom! antes usava hialurônico boticário to dimdim pagar 165 nele (na época comprei lançamento tava 100) comprei principia. ácido glicólico principia,1
boticollection viva acqua fresca fragrância feminina celebra 45 anos história tio boticário. inspirada clássico acqua fresca viva acqua fresca fragrância vibrante perfume delícia joga rosto_sorridente_com_olhos_de_coração,1
boticollection viva acqua fresca fresca fragrância vibrante notas todo bergamota limão neroli mandarina notas coração flor laranjeira jasmim nota acqua notas fundo cedro âmbar musk #boticario #brasil #45anos #lancamento,0
aqui juro boticário paga terapia,0
achei moot qnd ver tava interagindo conta boticario,0
vou pagar mulher natura encomendar produtos boticário logo,0
boticário intense #blush by manu gavassi cor ameixa – “meu blush favorito”  #manugavassi,0
perfume usar dia dia comprei glamour boticário. rosto_sorridente_com_3_corações,1
boticário pode patrocinar .eu cabelo tá lindo maravilhoso mano,1
2020 precisava comprar perfume marcante boticário 21700. loja vidro + essência + fixador = 2500. hoje ainda.,0
tô saindo cheiro puta (lily - boticário) diria tia. amoooo!,1
boticário nova linha spa mds bolsoooooo,0
comprei shampoo boticário menos 30 reais cabelo simplesmente tá ficando perfeito,1
vi agora comercial boticário  mds perfeitaaa,1
vejo comercial rebecca boticário fico tudo orgulhosa sigo menina desde qnd passista salgueiro inclusive fotos nessa época achar postar,1
fazendo comercial boticário ta maravilhosa demais!!,1
uso boticário ácido hialurônico noite durante dia uso protetor solar apenas,0
boticário amo manda mimosrosto_mandando_um_beijo,1
curtir perfumes femininos não importar pro dia dia frescor ishpink (natura); intense cool (o boticário); ilia flor laranjeira (natura) ocasiões especiais amburana sol (l'occitane au brésil); essencial oud feminino (natura),0
ocasiões especiais malbec magnetic (o boticário); essencial oud (natura); bonissimo black (avatim); absolute by exclusive (avon) balada malbec gold (o boticário); egeo bomb black (o boticário) date malbec x (o boticário),0
okay então vamos sugestões pro dia dia homem essence (natura); egeo spicy vibe (o boticário); segno (avon); madero cedro (yes cosmetics) amórgos (thera cosméticos); l'experience (oui paris); kaiak aero (natura),0
acho tanta frustração não vai dar kit ameixa negra boticário rosto_sorridente_com_lágrima,-1
comprei hidratante foda boticário diz nome caro crl bom. elysée nuit mt bom msm!,1
2° break #amanhãéparasempre140 vivo boticário mix lar ó carol downy giraffas ó diniz imecap espaçolaser +votados #troféuimprensa lot caixa enterogermina div rede (p alegre/rs) ch #sbtriogrande 2ª ed min saúde tresemmé bepantol derma lebes quentão aliança ch #carinhadeanjo,0
amo boticário amo tá cheirosa pqp.,1
usavamos creme perfumado antes boticário rosto_chorando_aos_berrosrosto_chorando_de_rir,0
identifiquei vários tuite original perfume boticário escada rolante mcdonalds extensão telefônica. criança colona!!,0
boticario?,0
quero agradecer boticário invenção creme morango leite sinto vitamina morango 24h dia rosto_com_olhar_maravilhado,1
comprei hidratantes site boticário ontem acabaram entregar,0
creme ameixa boticário elevou nível cheiro hidratante corporal. puta pariu rosto_sorridente_com_olhos_de_coração,1
dúvida compro linha eudora boticário cabelo rosto_implorando,-1
comprei kit boticário liz mandei “ganhei” perguntou quem “de você” “é pagar” funcionou meninas podem aderir rolando_no_chão_de_rirrosto_sorridente_com_3_coraçõesrosto_sorridente_com_3_corações,1
boticario,0
aí moral tem. mano maluco mt correira correria msm... trampa cmgvende naturaboticárioavonroupaconserta celulares vende droga ainda joga fut sábado.... sensacional brother vai longefoguete,0
"produtos marca tipo boticário ganhava algo marca ficava ""nossa chique"" hoje compro hidratantes gosto lá fico polegar_para_cima_pele_morena_clara",0
depressão profunda não ter passado programa estágio boticário,-1
comprar roupas lojas departamento bolacha champanhe carro vidro elétrico produtos maybelline boticário rosto_chorando_de_rir,0
body splash pêssego boticário… cheirinho incrível,1
viciada boticário rosto_deprimido,-1
comprei body splash deleite boticário tô simplesmente apaixonada cheirinho gostoso mundo rosto_sorridente_com_olhos_de_coraçãorosto_implorando,1
menino dança começou falar perfume porque trabalha boticário vi tava falando vida toda kkk,0
ama cheiro “beijinho” boticário assim eu hidratante promoção appp rosto_sorridente_com_3_coraçõesrosto_sorridente_com_3_coraçõesrosto_sorridente_com_3_corações,1
base catharine hill certeza melhor usei esmurra base fluida boticario óleo cor,0
doida creme pêssego boticário,0
óleo ameixa negra boticário amo religião,1
conheci cachorro-vinagre causa d ruma fita cassete antiga falava sobre animais brasil.,0
perfumes boticário especial aqui amiga rica tinha.,0
atualização aprendi cliente men only boticário substitui fácil 212 precinho honesto!,0
olha... gosto zaad boticário araucária loccitane. ruim queremos falar?,1
fiat burger king boticário outros lacrando detonando família brasileira. não merecem destaques comércio brasileiro. comprem qualquer outra concorrência lute libertação país.,-1
perfume boticário,0
shampoo/condicionador boticário,0
124027 #ações_preventivas local pedro boticário partenon #porto_alegre - vistoria funcionamento,0
quero saber boticário vai lançar bonequinho boti,0
ana boticário tatuapé anjo excelente profissional parabéns,1
compras março/abril 2022 boticário l`oreal skinerie primor...  via,0
amanhã vou entrevistar dois perfis sênior’s inclusive eh fodinhas boticário… vou botar panca porque hora verem cara pirralho nem vai levar sério entrevista,0
bom dia gastando 500 reais boticário,0
multimarcas natura boticário jequiti oui avon disse berenice? eudora. sao paulo capital,0
hidratante elysée boticário vida cara  cheiroso deeemais ainda comprei perfume fica melhor ainda rosto_com_sorriso_marotorosto_com_a_mão_sobre_a_bocarosto_sorridente_com_3_corações,1
linha nova boticário morango ruby cheirosa to doida comprar tudo,1
indo hoje boticário cheirar,0
vejo lançamentos creme boticário fico louca querendo odiooooooo odeio pobre,-1
boticário eh tudo mim grrr,1
sempre peço boticário nessa mulher enrolação rosto_soltando_vapor_pelo_nariz,-1
liderou projetos relevantes grandes marcas bentley burberry coach tory burch tam grupo accor boticário natura estée lauder group lexus honda volkswagem whirpool swarovski pandora nestlé johnson &amp; johson.,0
tá doida comprar novos produtinhos boticario cheirinho morango ta aquirosto_sorridente_com_3_corações,1
comprei óleo corporal boticário ainda não usei tô pena kkk,0
fazer propaganda aqui perfume boticário 214 gold. né bom normal não viu!?,0
ganhei kit boticário coffe rosto_sorridente_com_olhos_de_coração,1
não sabia rato perfumista boticário tbm,0
075833 #incêndio local pedro boticário glória #porto_alegre - incêndio loja,0
novo body splash boticario morango cheiro tudo menos morango tirando forte cheiro álcool decepcionada,-1
boticário lança nativa spa morango ruby linha cuidados corpo cabelo inspirada morango fruta símbolo sofisticação amada brasileiras. telefone_celular_com_seta contato (62) 99801-0080 acesse seta_para_a_direita,0
boticário tornou maiores intelectuais espíritas brasil  via,0
comprei perfume boticário usei 3 vezes perfume acabou tô achando veio metade,0
acho dps vai ficar tranquilo vou livrar parcelamento fiz boticário,0
obrigada mimos pessegura boticário !,1
não conformo pessoas pagam 150 conto perfume boticário ter memo cheiro todo mundo,0
vou viciada cremes corporais boticário rosto_sorridente_com_3_corações comprei beijinho ansiosa chegar logo.,1
boticario deve feliz trend povo usa boticario. amoooooooo!,1
patriotas peço contribuição definir lista empresas devem receber selo inapropriadas consumo. exemplo hering natura boticário...,-1
cunhada mandou presente kit completinho boticário linha spa ameixa negra rosto_com_olhar_maravilhadorosto_festivocoração_vermelho,1
primeiro boticario,0
incluam lista boticário.,0
dinheiro não vê! nem natura e dia namorados boticário.,0
cidade hj pós serviço toda trabalhada uniforme bota obra.. vendedora boticário cagou mim super feliz compras feito inclusive loja jóias.. não primeira vez acontece não volto loja nunca,-1
alguém dá nova linha morango ruby boticário pfvrrosto_desolado,-1
chegou momento mês amo pegar brinde boticário,1
doida pros produtos boticário chegar logo saudades cheirinho lily corpinho mandei vir dois refil dele mulher vaidosa cheirosa custa caro rosto_aliviadorosto_sorridente_com_3_coraçõesmulher_decepcionada_pele_clara,1
boticário riachuelo cea fiat heineken... aí vai.,0
ela grupo boticário natura...,0
vou dizer coisa posso feia cheirosa! tão aí dizer mentira. 1/4 salário fica boticário fedorenta! tá pensando falar do(s) meu(s) cheiro(s) catinga latrina imunda??? rosto_furioso,-1
boticário comprei malbec magnetic malbec x uomini hahah to cheirosão.,1
tristenão passei segunda fase seletiva grupo boticário aprendi longo dessa responta acreditar mim porque não adianta acreditar objetivos sonhos não acredita si mesmo acreditar mereço porque boa naquilo não porque sorte.,-1
uso body splashs natura boticário...perfeitinhos leves dormir folha_ao_ventofolha_ao_vento,1
#topoferta sérum facial perfeito intense by manu gavassi 32ml - boticário - r$ 3190 #beleza #saude,0
correeee compre 1 produto dessa lista  ganhe brindes foto #boticario,0
cadê gui napolitano boticário?,0
saindo boticário ter passado cartão 5x 10000,0
crlho perfume 214 boticário perfume filho puta gostoso rosto_bizarrorosto_babandorosto_sorridente_com_3_corações,1
elysée boticário igualzinho si giorgio armani to chocada,0
ir boticário ficar experimentando perfume maior hobbie,1
tô viciada produtos morango boticário comprei shampoo condicionador hidratante agora fechei compra geleia esfoliante rosto_sorridente_com_3_coraçõesrosto_sorridente_com_3_coraçõesrosto_sorridente_com_3_corações,1
namorando comprinha 100 cruzeiros boticário mds mês sofro pobreza não aguento vo chora,-1
"mulher loja roupas bebê achou perfume importado pois achou cheiroso tal... sabia ""o boticário""",0
gente alguém esqueceu bolsa boticário leal achei entreguei recepção souberem avisem recepção lá,0
sirene cupom boticário brilhos ganhe 04 brindes compras qualquer valor! ingresso_de_cinema cupom poddelas link compre aqui  #cupom #oboticario,0
brilhos alerta brindes boticário sirenerosto_sorridente_com_olhos_de_coração etiqueta use cupom poddelas ganhe 4 brindes qualquer compra valor mínimo! sacolas_de_compras link,0
