texto,sentimento
O negocio da vida é vender Boticario. Af Globo #edecasa,0
"Eu amo muito estes aqui, sabe? 

O professor, a médica veterinária, a dona do Boticário, sócia da chilibeans e a médica 

Muito obrigada por terem ido e consumido, eu sempre volto a ser a Flavia de 2015 quando tô com vocês e essa Flavia era muito feliz

Amo vocês https://t.co/SycjSiSs3P",1
"@100tempoirmaos eu tava usando a linha tônico de crescimento da boticário! e eu ameiiii, p mim deu mt certo. agora comprei aquela linha bomba da salon line que falam q é ótima tb… mas, vou testar. e to querendo comprar tb a linha da eudora, que falaram q é melhor ainda",1
"#promoção #oferta  [Parcelado] Desodorante Colônia L'eau de Lily 75ml - O Boticário - R$ 138,90  #beleza #saude https://t.co/9Iev88RrpQ",0
"agora todo mundo usa perfume importado no insta, o cheiro de ninguém foi Boticário ou um natura kkkkkkkk 
ataaaaaa, esse povo é uma piada",-1
"2.Cancelei meus investimentos no XP. Encerrei cc de 39 anos no Itaú.Não bebo nada da Ambev/Brahma-Skol-Antarctica, Eisenbahn.Não compro no Magalu, na Hering,nas Americanas, no McDonalds,  no Boticario e na Natura e na Bauducco, não assisto Grobo nem CNN, Band. Tamos conversados!",-1
"Cancelei meus investimentos no XP. Encerrei cc de 39 anos no Itaú.Não bebo nada da Ambev/Brahma-Skol-Antarctica, Eisenbahn.Não compro no Magalu, na Hering,nas Americanas, no McDonalds,  no Boticario e na Natura e na Bauducco, não assisto Grobo nem CNN, Band. Tamos conversados!",-1
"@DalgisaFonseca Natura, Boticário, Americanas, Itaú, Magazine Luísa etc, etc há  muitos anos eu boicoto.",-1
Tirei um perfume da boticário e outro creme da Lily pq o meu já tá acabando 🥰,1
"Esses cara tem uma mania de deixar mulher cheirosa pra gente nunca vi isso 🤣🤣🤣🤣
Enfim o bobinho da Boticário 🤣🤣🤣🤣",-1
Vou comprar minhas coisas na O Boticário 🥰🥰🥰,1
"Cara, eu sou completamente apaixonada nos hidratantes da o Boticário véi, o bgl fica o cheiro no corpo o dia todinho",1
Grupo Boticário lança Batom Inteligente https://t.co/2wufKumQKJ,0
"aconteceu… o boticário, parou de vender o meu perfume fav 😭",-1
"Uma pessoa me enviou msg por engano no wpp business perguntando se vendo chá, meu recado é Revendedora Avon e Boticário... mas nunca se sabe quando a pessoa revende produtos de beleza e cházinho!",0
"mds tem creme de morango no boticario agr, deus me segura",1
"Colônia Quasar Next Star Wars The Mandalorian 50ml - O Boticário na oBoticário - R$ 48,90. Oferta Relâmpago. #oferta #relampago #desconto #promoção #cupom https://t.co/qg0RRnpmNk",0
"@lizziebang @flagmentada amigas ele nao sai mas ele transfere, sabe? :( fiquei meio panda no final do rolê, uó
e esse da boticario falam que é o melhor mesmo, qro testar",0
"Acabei de comprar um lapis de olho da boticario e um pincel chinfrado pra tentar fazer um ""delineador"" ctz q só fiz gastar dinheiro q n tenho 🤣 agors to atras de um pó pq eu nao tenho mas o frete ta absurdo socorro deus",0
meninas digam um perfume bom da boticario pra mim comprar,0
"Tiktok me ensinou que o men only da Boticário tem o mesma fragrância do 212 men vip. Agora o boy (eu) mantém o perfume do dia a dia e só usa o importado em ocasiões especiais. 

Obrigado tiktok",1
Vão me dar sabonete da boticário de presente Bolsonaro faz alguma coisa 😭😭😭😭,-1
Esse hidratante novo da o Boticário é deliciosoooooooo n me canso de cheirar ele,1
"Tava olhando meus destaques e reparei que desde que sai do Boticário, não pintei a unha mais KKKKKKKK MEO DEOS",0
queria ser blogueira pra ser patrocinada pela o boticário pq eu entro lá e tenho vontade de comprar tudo,1
"@livmv222 Vamo se trocar, eu compro um batom da Mary Kay e tu um do Boticário kkkkkkkkkk

Te amo gatonaaa",0
"Miguel perguntou se eu queria alguma coisa, aproveitei que a vó dele vende boticário e pedi um kit da boti baby, mt bonzinho esse titio😍🥰💕",1
"@prrkezia mulher, passei na loja da Boticário hj para sentir a fragrância do hidratante morango ruby que eu queria comprar, só faltou a vendedora tacar o tubo do creme na minha cara...",-1
Eu que ganhei de dia dos namorados sem ainda está namorando um presente da boticário a mãe da podendo 😊😊,1
o atendente da boticario que fofo serio 😭 um amor ele,1
@i4leville tudo de mais doce da boticário vai pra sua casa,0
to louca num Deleite da O boticário. que creme delicinha,1
@tatisoa15's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,0
"To quase virando socia do boticario, toda semana eu gasto uma paulada la, sorte de quem ganha presente de mim 😌",1
Comprei um hidratante da Boticário tão cheiroso🥰,1
"Meu erro foi entrar na O Boticário, agr preciso de um kit da Glamour Secrets e um da Coffe.",-1
nao tem boquinha nao o hidratante lily da boticario é o maior que temos,0
Gastei meu dinheiro que eu não tenho na revista da Boticário KKKKKKKKk que ódio,-1
"Eu: não posso gastar mais esse mês…

Eu também comprando um monte de maquiagem da Eudora, Mary kay e Boticário 🤡",-1
vou querer a linha nova com cheiro de morango da boticário,1
complicadíssimo namorar quem usa boticário/natura pq aí tu termina e fica sentindo o perfume da pessoa em outras pessoas quase todo dia,-1
eu rodo rodo rodo mas sempre volto pra o perfume nuvem da o boticário pô não tem pra onde ele é oficialmente o meu cheirinho,1
"Fico pra morrer como algumas vendedoras da O Boticário se acham as DONAS e proprietárias do grupo o boticário
Por isso que não me sinto nem um pingo a vontade de ir nas lojas 🤦🏽‍♀️",-1
"Fui na loja da Boticário , e queria todos os produtos 🥹😂.",1
"Tô postando aqui pra avisar aos fãs da Lila qur querem comprar o perfume dela da o boticário que a embalagem vai mudar apartir do ciclo 10, estão no ciclo 9 então quem quiser comprar com a embalagem original compra logo pq a embalagem nova é horrível https://t.co/T883kr2fL4",1
"Por isso que eu vou começar a investir nos perfumes da Elizabeth Taylor, da Lanvin, coisas que são maravilhosas mas não são tão conhecidas. Acho uma merda ser uma pessoa básica. Não tenho nada contra perfumaria nacional, mas vou nas marcas mais nichadas tbm, nada de Boticário. https://t.co/gRxb6LJQS8",-1
"Comprei um creme que é a imitação do de ameixa do o Boticário, muito bom menos de 10 reais",0
@anaoliviaam O boticário exagerado,-1
"Nada melhor do que tomar um banho e ficar cheirosa🫰
Esse creme do @boticario  Deleite é o melhor🥰",1
@tbaghdadi Anúncio do Boticário do dia dos namorados,0
@TerraBrasilnot Falta agora a Boticário e a Natura.,0
"App da Boticário está com várias promoções e todas com frete grátis e meu cartão tem 1,00 de limite 😭😭😭😭",-1
@byancabastos Procurando tb. Um que eu usava do Boticário saiu de linha,0
alguem me indica perfume doce/floral (mas chique) com fixação boa da boticario?,0
"@dhebinhahh É mentira gente, podem ir lá no Boticário comprar sem medo",1
"quero gastar meu salário na o boticário dnv, mas tô com 3 perfumes de lá cheio 😔",-1
minha mãe comprou esse creme novo da boticário e eu achei bem enjoativo 😞,-1
@ohfuckthais Pensei a mesma coisa eu com meus natura e boticário,0
eu amo a facilidade que as vendedoras da boticário tem em enfiar produto em mim,1
comprei um Floratta e um creme da Boticário 🤤,1
"não consigo fazer esse negócio que tem no instagram de ""vc/seu cheiro"" pq eu uso um monte de perfume da minha mãe ela tem vários diferentes aquela mulher não pode ver uma promoção na boticário",0
O Boticário você não é real você não existe você é só uma loja saia da minha cabeça por favor 😞😞😞😞😞😞😞😞😞😞😞😞,-1
"Meus perfumes acabaram, daí hoje coloquei um perfume que dei a mAinha e lembrei pq eu dei, ODEIO O CHEIRO. MEU DEUS NÃO SUPORTO LILLY DO BOTICÁRIO",-1
"Fui na Boticário pra experimentar um perfume que eu tava curiosa, amei e tava sem estoque na loja. Comprei no site, paguei e agora cancelaram minha compra porque não tem estoque. Não me querem cheirosa! 🥲",1
Até comprei um sabonete líquido da boticário pra mim pra alcançar a meta,0
"CUPONS BOTICÁRIO 
20% de desconto na primeira compra 
Cupom: BEMVINDO20 
https://t.co/NsYqtlUY8t 
30% de desconto na primeira compra pelo Aplicativo 
Cupom: BEMVINDO30 
https://t.co/aF1Nh9mc8j 
 
Página de Cupons: https://t.co/83qkfIPkR7 
 
Canal Telegram https://t.co/78Gr0PQMEW https://t.co/oOxSAG3ffw",0
Comprar kit da o Boticário virou vício🤦,1
@Damadeferroofic @FabioTalhari Usa perfume da Boticário e compra na Magalu.,0
"achei uma promoção na Internet de dois cremes de 400ml da o boticário por 50 reais, aproveitei e comprei",0
"""voce vs seu cheiro"" amor voce fede a esgoto, nao a o boticário",-1
"A semana foi intensa para o time da COSMOTEC INTERNATIONAL!

Visitamos o Grupo Boticário para levar as últimas novidades e tendências em texturas e sensoriais através de sugestões de fórmulas e ingredientes inovadores. 

Conte com a Cosmotec para trazer s…https://t.co/GGh8cbIQ8C",0
"eu me arrumando, pensando ""bah, preciso comprar um perfume novo né""

CINCO minutos depois o boticário da minha cidade manda mensagem com tabela das promoções da semana",0
"Comprei um hidratante mara na Boticário, muito bom poder se mimar",1
"o perfume que eu uso da Boticário era 80$ agora tá 150$ 

🤪🤡",0
minhas maquiagens venceram tudo um kit de sombra maravilhosa da o Boticário que Nathalia me deu eu tô com pena de jogar fora tá novinho nesses anos de pandemia eu não coloquei nada na cara,0
fomos na boticário gastar um pouquinho😍,1
"Bah, o novo creme de morango da  Boticário é maravilhoso, cheiro docinho, parece que tu te perfumou! Quem quiser encomendar, me chamaaasaaaaA",1
"[O BOTICARIO] 📦 Frete Grátis 🇧🇷
Kit Presente de Dia dos Namorados Egeo Dolce (3 itens)
🔥 R$ 172 em até 8x
🛒 https://t.co/siQa9if5QI
. https://t.co/inKdsSrFGE",0
Incrível como a Boticário me sabota pois nunca tem promoção do floratta blue,-1
"Tô doida pra Cassiane trazer a revista da Boticário pra mim pode pegá outro perfume,O meu já ta pelo fim,e fica sem meu cheirinho não da kkk",1
@arieunog amg eh aql da o boticário?,0
"@donagabu Teve uma época que eu comprei alguns perfumes importados e kkkkkkk tirando o J'adore da Dior, prefiro os da o Boticário msm. Maravilhosos aaa",1
"Coisas da Avon (sim kkk), o Boticário e natura, sabonete Dove, andar de táxi lotação (kkk), latinha de biscoito, casa com + de 1 andar.

O mais engraçado é que várias dessas coisas se tornaram corriqueiras pra mim, e agora tão voltando a ser coisa de rico (boticário por ex)",0
Entrei no boticario pra comprar uma coisa específica e a mocinha passou tanto perfume em mim q tô uma frorzinha de cheirosa,1
@MirellaGeh @sapatinha_08 e um novo da o boticario kskskskskskksksskkskksks,0
"Desesperada pq meu perfume acabou e talvez a boticario tenha tirado ele de linha

Vou me m",-1
"@luizafsimoes portinari da boticário, bom demais",1
"Não sei l que fem na cabeça do Grupo o Boticário pra colocar um batom da QDB, que veio com a proposta de produtos acessíveis, por 43 reais. https://t.co/3wnc9Haia6",-1
ae boticario vcs n tem vergonha nao essa porra destrói familias https://t.co/33nAkk6OSi,-1
"Oi, tudo bem? Essa é a Minha Loja Digital O Boticário!

Veja os produtos e faça seu pedido por lá, é muito mais prático

Acesse aqui: https://t.co/cswXY7juAh",0
Gabi Brandt mostrou os perfumes dela e não tem nenhum Boticário,0
"@flagmentada @cyntcham O de caneta sai mesmo, só uso no dia a dia.
Bom mesmo é esse da boticário que não borra, é perfeito pra role. https://t.co/gZemzEZqhs",1
eu entro no boticário e saio de lá com um monte de palitinho daqueles pra eu ficar cheirando em casa kkkkkkkkkkkk,0
"eu fico toda boba quando elogiam meu trabalho em reunião, a gerente do Boticário e gerente da Vult encheram minha bola hoje, fiquei ó 🥰🥰🥰",1
@CravoPaulo Eu já não compro boticário por quer e caro e com isso agora que não vou compra mesmo..ficar nos piratas.kkkk,0
"E se eu for postar, só vai ser natura e Boticário",0
To muito triste que comprei uns cremes caros no Boticário e eles me deram reação alérgica…,-1
Comprei um creme de mãos no boticário que tem cheiro de pinho sol de lavanda. Hm que delicia cheiro de banheiro nas mãos,-1
o maluco da boticario me enganou e me vendeu hidratante para as maos feminino,-1
"os kitizinhos de hidratantes da Boticário são maravilhosos, mas os preços estão de arrancar os olhos pqp. 😩😩😩😩😩",-1
viciei no cheirinho do hidratante matcha d'o boticário. bem gostoso ♡,1
"Comprei um hidrante na Boticário com cheiro de morango, e comprei o sabonete tbm 🥰🥰",1
tem uma moça discutindo com o perfil da boticário num comentário meu,0
@gabrielspndl nunca provei gosto dos sabores da boticário mas são caros,1
por algum motivo agr sou obsecada pelo boticario,1
"vai boticário, me patrocinaaa",0
"@CarolFelix779 Ela veio aqui trazer umas coisas da boticário pra mim, e tbm me falou várias coisas de você, mas nem dei muito ideia e ela tbm não citou nome. Tem coisas que tem que ser só vc e Deus!",0
"OFERTAS DO DIA:

AliEx: https://t.co/2Kt7fm4Gw3
Amazon: https://t.co/LDSuZyepqN
Americanas: https://t.co/k04FEdDzRr
Boticário: https://t.co/QhRv1dqV1k 
Netshoes: https://t.co/dHMvDuvpSq
Shopee: https://t.co/mpvaKiJdPN
Sub: https://t.co/AGo3PNFdXZ

Canal: https://t.co/xFopA5YFaG",0
"Apaixonada no Glamour Gold do Boticário, mas nem tem pra vender ainda... Socorro!",1
Boticário regrava jingle para comemorar volta do São João no Nordeste https://t.co/ZcfJNUc0CV,0
"🚨 #OBOTICARIO CUPONS:

🎟 20% off na primeira compra no site.
🔗 ACESSE: https://t.co/p1WqpTCMqr
✨ CUPOM: BEMVINDO20

🎟 30% off na primeira compra no APP.
🔗 ACESSE: https://t.co/ZlxXU15uDm
✨ CUPOM: BEMVINDO30

#CuponsOBoticario #Boticario

↪️ https://t.co/ur0YKTiVpw https://t.co/DCEUD7BLMw",0
"O presente certo em todas as ocasiões. 

O Boticário em O Boticário https://t.co/px2dDYT125",0
boticário EU NAO SEI para de me mandar email pirra,-1
"pensando em comprar o Liz da Boticário mas se eu chegar em casa com mais um frasco de perfume, minha mãe me mata",-1
@wilmsart vai la no boticario e compra slk,0
Acordei feliz pq meu perfume e creme entraram em promoção na revista da Boticário,1
eu na boticário experimentando qual malbec eu vou levar,0
que lindo essa campanha da boticário com a Rebecca ❤️,1
"@viihtube @oBoticario Boticário não sei, mas pra pra fazer os outros de palhaço, passando golpe com a tal da Blaze apostas ,aí tudo bem né,  afinal estão pagando pra fazer propaganda dessa me!#rda,e faz mesmo sabendo que é golpe",-1
"Ganhei um kit da boticário tão cheiroso de dia dos namorados, que a graça dos meus dias têm sido tomar banho pra passar meus produtos no corpo",1
"se você usa aquele perfume red alguma coisa da boticário, por favor n chega perto de mim",-1
@hoje_no Parece propaganda de perfume do Boticário 😁,0
"👏👏👏👏👏👏👏👏👏
Estamos juntos.
Incluo nesta lista: Bauducco, Natura, Boticário, Burger King e muitas outras.
Quem consome produtos da AMBEV e outras precisa ter consciência que está financiando grupos que querem destruir o Brasil para retomarem o poder.",-1
brega mermo não bebe de américa nenhuma nem nunca houve uns bolerinho tocando em feira livre agitando pra bailes de seresta. kubanakan q isso perfume da boticário? cumbia né aqueles bowl de botar bifum?,0
"Acabei de ver no YouTube o novo brinde da o boticário, e n gostei kkk pensei q era o novo lançamento de morango e n é!!!!! Chateada 😏🥺",-1
@oBoticario Vai tomar no cu boticário 🖕,-1
Esse mês tem brinde na o Boticário ?,0
"O Boticário fez lançamento do morango ruby e até agora nenhum sinal de cadastro para amostra grátis, você já foi melhor hein dona @oBoticario",-1
"n dava nada pelos hidratantes da marca hidramais, mas eu to amando!
to viciada em um q tem cheiro de bb e olha q sou a louca dos hidratantes, tenho vários da eudora, boticário, nivea... mas esse me pegou demais, agora só dps q eu enjoar do cheiro kk",1
tava no youtube e vi um anuncio da o boticário com a linda da rebecca &lt;333,0
@MFFrann Minha vida aí kkkkkkk não posso nem cheirar aquele papelzinho com perfume que a moça dá na porta da Boticário que parece que o nariz vai cair,-1
"Fui na o boticario hj comprei meus hidratantes, esse ameixa é tudo 😍",1
Shampoo da Boticário é tão bom,1
"gnt o esfoliante de boa noite da boticário é muito bom, e trás mesmo um relaxamento",1
Eu tô simplesmente  obcecada  pelo o hidratante  de leite da o boticário.,1
Comprei umas roupas na shein e comprei um perfume na o boticário 🥰,1
petição para a o boticário parar de fabricar o creme hidratante de ameixa,-1
"Eita!!!
Que eu uso 2...
_ meu 1° boticário foi Floratta in Blue, ganhei em 1999... e nunca mais deixei de usar 
_ e Coffee passei a usar em 2010 ❤",1
simplesmente viciada em produtos da boticario e eudora,1
"Não existe hidrante melhor que o Lilly e o ameixa da Boticário, affff 🤤🥰",1
@trinelidias se for boticário eu tenho em,0
To com um hidratante da boticário morango ruby q é coisa de louco 😋😋😋 mt cheiroso...,1
"cheguei tão rápido em casa e me arrumei correndo pra sair de novo e esqueci de passar perfume, passei no shopping e entrei na o boticário e borrifei meu floratta gold do perfume de prova e arrasei.
me siga para mais dicas.",0
"Aqui estou mais um dia pra falar de perfumes! Kkk

Outro que eu amo com todas as minhas forças é o Crazy Choices, da O Boticário. Baita perfume diferente e delícia. Ele lembra bastante um outro que é dos meus favoritos ever, o Angel Muse da Mugler. https://t.co/mJaQbgU8kC",1
Promo no o Boticário e não tenho dinheiro pra um desodorante,0
@luh_nj ai eu adoro o gostinho e o formato desse ice mas não acho que hidrate tantoooo queria um mais poderoso!!! não conhecia esse da boticário deve ser tudo pra sair 💓obg princesa linda,1
O creme novo de morango da O Boticário é simplesmente maravilhosooooo e eu ainda ganhei de presente de uma pacientinha querida 🥹,1
"@sbbr777 amiga eu uso da principia e é mttt bom! antes eu usava o hialurônico da boticário, mas to sem dimdim pra pagar 165 nele (na época que comprei era lançamento e tava 100) e comprei o da principia. o ácido glicólico também é da principia",1
"Boticollection Viva Acqua Fresca  é uma fragrância feminina que celebra os 45 anos de história do tio Boticário. Inspirada no clássico Acqua Fresca, Viva Acqua Fresca é uma fragrância vibrante, o perfume é uma delícia, se Joga 😍",1
"Boticollection Viva Acqua Fresca    Fresca é uma fragrância vibrante As notas de todo é Bergamota, Limão, Neroli, Mandarina, Notas De Coração são flor de laranjeira, Jasmim, nota acqua e as notas de fundo é cedro, Âmbar e Musk @oBoticario #boticario #Brasil #45anos #lancamento https://t.co/iuQhOTABhs",0
"@oBoticario Isso aqui
Juro
Boticário paga minha terapia",0
achei q era moot e qnd fui ver tava interagindo com a conta da boticario,0
vou pagar a mulher da Natura e encomendar os produtos da O Boticário logo,0
Boticário Intense #Blush by Manu Gavassi cor  Ameixa – “Meu Blush Favorito” https://t.co/C6Q7Zcbs4C #manugavassi,0
estava sem perfume pra usar no dia dia comprei um glamour da o boticário. 🥰,1
"Boticário já pode me patrocinar, .eu cabelo tá lindo e maravilhoso mano",1
"@DoctorClimao @sansquer @EngMarcelo_ @Edelgodess 2020 precisava comprar um perfume mais marcante, no Boticário 217,00. Na loja vidro + essência + fixador = 25,00. Até hoje tenho dele ainda.",0
"Tô saindo com cheiro de puta (Lily - O Boticário), como diria minha tia. Amoooo!",1
Boticário com nova linha spa mds o meu bolsoooooo,0
Comprei um shampoo do Boticário por menos de 30 reais e meu cabelo simplesmente tá ficando perfeito com ele,1
"Eu só vi agora a @RebeccaOficial no comercial do Boticário , MDS que perfeitaaa",1
"Vejo o comercial da Rebecca pra Boticário e fico td orgulhosa, sigo essa menina desde qnd era passista do Salgueiro, inclusive tenho fotos com ela nessa época, tenho q achar pra postar",1
A @RebeccaOficial fazendo esse comercial da boticário ta maravilhosa demais!!,1
@swifolkore eu uso o da boticário com ácido hialurônico mas ele é só pra noite e durante o dia uso protetor solar apenas,0
"o Boticário eu te amo, manda mimos😘 https://t.co/3S06Fi696P",1
"@fvsbrait se você curtir perfumes que são femininos, e não se importar muito com isso
pro dia a dia: frescor de ishpink (natura); intense cool (o boticário); ilia flor de laranjeira (natura)
pra ocasiões especiais: amburana ao sol (l'occitane au brésil); essencial oud feminino (natura)",0
"@fvsbrait pra ocasiões especiais: malbec magnetic (o boticário); essencial oud (natura); bonissimo black (avatim); absolute by exclusive (avon)
PRA BALADA: malbec gold (o boticário); egeo bomb black (o boticário)
PRA UM DATE: malbec x (o boticário)",0
"@fvsbrait okay então vamos de sugestões
pro dia a dia: homem essence (natura); egeo spicy vibe (o boticário); segno (avon); madero cedro (yes cosmetics) OU amórgos (thera cosméticos); l'experience (oui paris); kaiak aero (natura)",0
"Acho que depois de tanta frustração, @fofoletchen não vai mais me dar o kit ameixa negra de o boticário 🥲 https://t.co/NcwAFQ7OjV",-1
"Comprei um hidratante foda do Boticário, como diz o nome é caro pra crl mas é bom. Elysée Nuit, mt bom msm!",1
